#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 0     0.767        0.434        92                23                0.170        0                           0                           15633836                    114609966                   
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           2658496                     N/A                         
GPU 2     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           3363713                     756002                      
GPU 0     0.773        N/A          92                23                N/A          N/A                         N/A                         19026078                    N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1080558                     
GPU 2     N/A          0.000        0                 0                 0.000        0                           0                           3472488                     2888526                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           N/A                         2743121                     
GPU 0     N/A          0.420        92                23                0.174        0                           0                           N/A                         124221445                   
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1542913                     N/A                         
GPU 2     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         6095042                     N/A                         
GPU 0     0.731        N/A          92                23                N/A          N/A                         N/A                         25550233                    N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         5564018                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           5671464                     4665404                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           6095042                     5099188                     
GPU 0     N/A          0.415        92                23                0.194        0                           0                           25550233                    177862324                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         5564018                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           5671464                     4665404                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           6095042                     5099188                     
GPU 0     N/A          0.415        92                23                0.194        0                           0                           25550233                    177862324                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1538123                     1042795                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1590303                     1089749                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           2346368                     1804096                     
GPU 0     0.785        0.448        93                22                0.176        0                           0                           17363769                    116006641                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.748        0.409        93                22                0.168        0                           0                           15392800                    117597041                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           849887                      375410                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           834390                      359831                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           2085704                     1131494                     
GPU 0     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.753        0.424        93                22                0.196        0                           0                           18138227                    152597474                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1214922                     735210                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1246129                     761233                      
