,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
12826,GPU 0,0.413,0.192,100,11,0.099,0.0,0.0,42066537.0,190637759.0
12830,GPU 0,0.36,,100,11,,,,,
12834,GPU 0,0.36,0.226,100,11,0.08,0.0,0.0,46575815.0,100359606.0
12838,GPU 0,0.42,,100,10,,,,,
12842,GPU 0,0.42,0.21,100,10,0.158,0.0,0.0,81548729.0,192630367.0
12846,GPU 0,0.408,,100,10,,,,,
12850,GPU 0,0.408,0.213,100,10,0.075,0.0,0.0,34839790.0,82934529.0
12854,GPU 0,0.389,,100,9,,,,,
12858,GPU 0,0.389,0.189,100,9,0.078,0.0,0.0,42288681.0,101872303.0
12862,GPU 0,0.387,,100,9,,,,,
12866,GPU 0,0.387,0.225,100,9,0.078,0.0,0.0,48867995.0,102405472.0
12870,GPU 0,0.411,,100,12,,,,,
12874,GPU 0,0.411,0.184,100,12,0.096,0.0,0.0,35857537.0,158308318.0
12878,GPU 0,0.35,,100,12,,,,,
12884,GPU 0,0.432,0.234,100,12,0.084,0.0,0.0,48489163.0,103028418.0
12888,GPU 0,0.432,,100,10,,,,,
12892,GPU 0,0.394,0.205,100,10,0.075,0.0,0.0,47853959.0,100514666.0
12896,GPU 0,0.394,,100,10,,,,47006338.0,
12900,GPU 0,0.423,0.216,100,10,0.083,0.0,0.0,,106680646.0
12904,GPU 0,0.423,,100,10,,,,42832537.0,
12908,GPU 0,0.39,0.215,100,10,0.076,0.0,0.0,,92650281.0
12912,GPU 0,0.39,,100,10,,,,41662047.0,
12916,GPU 0,0.386,0.189,100,10,0.077,0.0,0.0,,101392750.0
12920,GPU 0,0.386,,100,10,,,,45962951.0,
12924,GPU 0,0.386,0.224,100,10,0.078,0.0,0.0,45962951.0,98668176.0
12928,GPU 0,0.386,0.224,100,10,0.078,0.0,0.0,45962951.0,98668176.0
12932,GPU 0,0.352,0.186,100,10,0.064,0.0,0.0,28720015.0,133650842.0
12936,GPU 0,0.352,,100,11,,,,,
12942,GPU 0,0.43,0.234,100,11,0.083,0.0,0.0,51088239.0,104925902.0
12946,GPU 0,0.43,,100,11,,,,,
12950,GPU 0,0.395,0.206,100,11,0.076,0.0,0.0,42576022.0,95222000.0
12954,GPU 0,0.395,,100,12,,,,,
12958,GPU 0,0.514,0.273,100,12,0.108,20593.0,762893498.0,49029105.0,112546072.0
12962,GPU 0,0.514,,100,12,,,,,
12966,GPU 0,0.751,0.417,100,27,0.205,0.0,0.0,22754304.0,56966450.0
12970,GPU 0,0.751,,100,27,,,,,
12974,GPU 0,0.798,0.452,100,27,0.217,0.0,0.0,6310859.0,23006281.0
12978,GPU 0,0.798,,100,27,,,,,
12982,GPU 0,0.789,0.443,100,27,0.215,0.0,0.0,5661251.0,22280770.0
12986,GPU 0,0.789,,100,28,,,,,
12990,GPU 0,0.78,0.438,100,28,0.214,0.0,0.0,8755614.0,25622514.0
12994,GPU 0,0.78,,100,28,,,,,
13000,GPU 0,0.79,0.448,100,28,0.216,0.0,0.0,12419342.0,30769999.0
13004,GPU 0,0.79,,100,27,,,,,
13008,GPU 0,0.794,0.447,100,27,0.217,36408.0,770694978.0,6262303.0,24648716.0
13012,GPU 0,0.794,,100,27,,,,,
13016,GPU 0,0.769,,100,27,0.207,0.0,0.0,6066183.0,
13020,GPU 0,0.769,,100,28,,,,,
13024,GPU 0,0.786,0.441,100,28,0.215,0.0,0.0,6794061.0,25079764.0
13028,GPU 0,0.786,,100,28,,,,,
13032,GPU 0,0.794,0.446,100,27,0.218,0.0,0.0,5443161.0,23781308.0
13036,GPU 0,0.794,,100,27,,,,,
13040,GPU 0,0.77,0.429,100,27,0.213,0.0,0.0,6243003.0,24565880.0
13044,GPU 0,0.77,,100,27,,,,,
13048,GPU 0,0.446,0.248,71,20,0.123,0.0,0.0,132881225.0,1661296497.0
13052,GPU 0,0.446,,71,20,,,,,
13058,GPU 0,0.777,0.455,71,20,0.194,0.0,0.0,34988789.0,487647140.0
13062,GPU 0,0.777,,71,20,,,,,
13066,GPU 0,0.979,0.571,100,28,0.243,765242728.0,30986.0,8919069.0,28291060.0
13070,GPU 0,0.979,,100,28,,,,,
13074,GPU 0,0.854,0.497,100,28,0.206,767049874.0,20705.0,19437658.0,47908264.0
13078,GPU 0,0.854,,100,28,,,,,
13082,GPU 0,0.42,,100,10,0.082,0.0,0.0,41678834.0,
13086,GPU 0,0.42,0.22,100,10,0.082,0.0,,,97386003.0
13090,GPU 0,0.395,,100,10,,,0.0,38892964.0,
13094,GPU 0,0.418,0.212,100,10,0.077,0.0,0.0,45778503.0,90680812.0
13098,GPU 0,0.418,0.207,100,11,0.082,0.0,0.0,,106034192.0
13102,GPU 0,0.37,,100,11,,,0.0,58333527.0,
13106,GPU 0,0.37,0.22,100,11,0.1,0.0,,,180134182.0
13110,GPU 0,0.391,,100,11,,,0.0,40664285.0,
13116,GPU 0,0.391,0.19,100,10,0.076,0.0,,,97313124.0
13120,GPU 0,0.408,,100,10,,,,,
13124,GPU 0,0.408,,100,10,,,,,
13128,GPU 0,0.385,0.196,100,10,0.076,0.0,0.0,35636725.0,89559896.0
13132,GPU 0,0.385,,100,10,,,,,
13136,GPU 0,0.385,,100,10,,,,,
