,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
2339,GPU 1,0.754,0.429,91,23,0.169,0.0,,,
2343,GPU 1,0.747,,91,22,,,0.0,18700248.0,118943368.0
2347,GPU 1,0.747,0.413,91,22,0.169,0.0,,,
2351,GPU 1,0.742,,91,22,,,,19361133.0,
2355,GPU 1,0.742,0.418,91,22,0.194,0.0,0.0,,159620053.0
2359,GPU 1,0.731,,91,23,,,,18178702.0,
2363,GPU 1,0.731,0.409,91,23,0.165,0.0,0.0,,116508957.0
2367,GPU 1,0.751,,91,23,,,,37690060.0,
2371,GPU 1,0.751,0.426,92,23,0.169,0.0,0.0,,137654275.0
2375,GPU 1,0.731,,92,23,,,,40916639.0,
2379,GPU 1,0.731,0.414,92,23,0.192,0.0,0.0,,181982864.0
2385,GPU 1,0.752,,92,23,,,,38214991.0,
2389,GPU 1,0.752,0.408,87,21,0.167,0.0,0.0,,140896649.0
2393,GPU 1,0.699,,87,21,,,,46570574.0,
2397,GPU 1,0.699,0.392,87,21,0.164,20792.0,770241637.0,,141972934.0
2401,GPU 1,0.729,,87,21,,,,5759377.0,
2405,GPU 1,0.729,,87,27,,,0.0,5759377.0,23957555.0
2409,GPU 1,0.729,0.442,87,27,0.216,0.0,0.0,5759377.0,22429390.0
2413,GPU 1,0.787,,100,27,,,0.0,5703444.0,
2417,GPU 1,0.787,,100,27,,,,,22086448.0
2421,GPU 1,0.774,0.434,100,28,0.212,0.0,0.0,5731687.0,
2425,GPU 1,0.774,,100,28,,,0.0,,26151328.0
2429,GPU 1,0.793,0.448,100,28,0.216,0.0,,9573904.0,
2433,GPU 1,0.793,,100,28,,,340726928.0,,30401902.0
2437,GPU 1,0.208,0.453,60,16,0.217,0.0,340726928.0,14591691.0,30401902.0
2443,GPU 1,0.208,0.112,60,16,0.059,0.0,,,17920534.0
2447,GPU 1,0.0,,60,16,,,0.0,6982866.0,
2455,GPU 1,0.0,,0,0,,,0.0,7405042.0,
2463,GPU 1,0.0,,0,0,,,0.0,8014722.0,
2467,GPU 1,0.0,0.0,28,8,0.0,0.0,,,
2471,GPU 1,0.376,,28,8,,,428964958.0,12950806.0,21328602.0
2475,GPU 1,0.376,0.215,28,8,0.102,769174072.0,,,
2479,GPU 1,0.774,,28,8,,,0.0,16738252.0,
2483,GPU 1,0.774,0.43,100,28,0.214,0.0,,,33955483.0
2487,GPU 1,0.78,,100,28,,,0.0,17012150.0,
2491,GPU 1,0.78,0.437,100,28,0.214,0.0,,,34216558.0
2495,GPU 1,0.795,,100,28,,,0.0,5848148.0,
2501,GPU 1,0.795,0.448,100,28,0.217,0.0,,,24193854.0
2505,GPU 1,0.767,,100,28,,,0.0,5776730.0,23518059.0
2509,GPU 1,0.767,0.425,100,28,0.212,0.0,,,
2513,GPU 1,0.685,,100,20,,,0.0,13656095.0,37642737.0
2517,GPU 1,0.685,0.386,97,20,0.181,341064118.0,,,
2521,GPU 1,0.55,,97,20,,,36403.0,47485348.0,141962000.0
2525,GPU 1,0.55,0.297,97,20,0.125,429786343.0,,,
2529,GPU 1,0.718,,97,17,,,0.0,151151564.0,1842304455.0
2533,GPU 1,0.718,0.413,95,17,0.181,0.0,,,
2537,GPU 1,0.509,,95,17,,,0.0,75573055.0,573847098.0
2541,GPU 1,0.509,0.268,95,17,0.108,0.0,0.0,,573847098.0
2545,GPU 1,0.412,0.225,100,17,0.079,0.0,,49226086.0,
2549,GPU 1,0.412,,100,10,,,0.0,,102134623.0
2553,GPU 1,0.384,0.195,100,10,0.076,0.0,,28873932.0,
2559,GPU 1,0.384,,100,10,,,,,80178768.0
2563,GPU 1,0.427,0.221,100,12,0.082,0.0,0.0,49937662.0,
2567,GPU 1,0.427,,100,12,,,,,108862126.0
2571,GPU 1,0.356,0.2,100,12,0.097,0.0,0.0,40974260.0,
2575,GPU 1,0.356,,100,12,,,,,160129052.0
2579,GPU 1,0.413,0.211,100,10,0.079,0.0,0.0,42786661.0,
2583,GPU 1,0.413,,100,10,,,,,95665891.0
2587,GPU 1,0.402,0.222,100,10,0.078,0.0,0.0,51308183.0,
2591,GPU 1,0.402,,100,10,,,,,104714934.0
2595,GPU 1,0.764,0.422,100,27,0.18,20596.0,762970712.0,79352537.0,
2599,GPU 1,0.764,,100,27,,,,,160785305.0
2603,GPU 1,0.91,0.538,100,27,0.218,0.0,340862448.0,59787838.0,
2607,GPU 1,0.91,,100,27,,,,,116892088.0
2611,GPU 1,0.837,0.463,100,26,0.203,771617338.0,430348987.0,84607598.0,
2617,GPU 1,0.837,,100,26,,,,,170334757.0
2621,GPU 1,0.867,0.505,100,26,0.204,0.0,5193.0,94075823.0,
2625,GPU 1,0.867,,100,26,,,,,
2629,GPU 1,0.792,0.454,100,19,0.219,771104149.0,20815.0,89336030.0,262039171.0
2633,GPU 1,0.792,,100,19,,,,,
2637,GPU 1,0.428,0.233,100,19,0.082,0.0,0.0,50072258.0,101888740.0
2641,GPU 1,0.428,,100,19,,,,,
2645,GPU 1,0.394,0.202,100,10,0.075,0.0,0.0,38396302.0,87992827.0
2649,GPU 1,0.394,,100,10,,,,,
2653,GPU 1,0.425,0.218,100,10,0.083,0.0,0.0,44290691.0,99707421.0
2657,GPU 1,0.425,,100,9,,,,,
2661,GPU 1,0.393,0.217,100,9,0.076,0.0,0.0,39387029.0,85092587.0
2665,GPU 1,0.393,,100,9,,,,,
