Iteration,Iter Time (s)
1240,0.1502
1241,0.1220
1242,0.1282
1243,0.1379
1244,0.1401
1245,0.1407
1246,0.1404
1247,0.1402
1248,0.1404
1249,0.1399
1250,0.1393
1251,0.1250
1252,0.1332
1253,0.1444
1254,0.1435
1255,0.1420
1256,0.1419
1257,0.1431
1258,0.1446
1259,0.1531
1260,0.1533
1261,0.1234
1262,0.1287
1263,0.7538
1264,0.8434
1265,0.8295
1266,0.8277
1267,0.8290
1268,0.8281
1269,0.8275
1270,0.8262
1271,0.8296
1272,0.8302
1273,0.8287
1274,0.8274
1275,0.8280
1276,0.8291
1277,0.8315
1278,0.8325
1279,0.8322
1280,0.8282
1281,0.8315
1282,0.8307
1283,0.8278
1284,0.8313
1285,0.8290
1286,0.8315
1287,0.8323
1288,0.8310
1289,0.8286
1290,0.8289
1291,0.8323
1292,0.8289
1293,0.8288
1294,0.8293
1295,0.8287
1296,0.8306
1297,0.8301
1298,0.8272
1299,0.8280
1300,0.8298
1301,0.8332
1302,0.8263
1303,0.8260
1304,0.8274
1305,0.8277
1306,0.8272
1307,0.8271
1308,0.8276
1309,0.8270
1310,0.8279
1311,0.8318
1312,0.8275
1313,0.8272
1314,0.8278
1315,0.8280
1316,0.8300
1317,0.8282
1318,0.8319
1319,0.8318
1320,0.8311
1321,0.8307
1322,0.8281
1323,0.8270
1324,0.8282
1325,0.8286
1326,0.8295
1327,0.8273
1328,0.8290
1329,0.8307
1330,0.8285
1331,0.8322
1332,0.8322
1333,0.8291
1334,0.8306
1335,0.8313
1336,0.8310
1337,0.8316
1338,0.8298
1339,0.8287
1340,0.8279
1341,0.8289
1342,0.8289
1343,0.8342
1344,0.8292
1345,0.8300
1346,0.8285
1347,0.8296
1348,0.8313
1349,0.8325
1350,0.8299
1351,0.8326
1352,0.8282
1353,0.8308
1354,0.8304
1355,0.8294
1356,0.8280
1357,0.8279
1358,0.8292
1359,0.8281
1360,0.8314
1361,0.8296
1362,0.8294
1363,0.8275
1364,0.8277
1365,0.8266
1366,0.8270
1367,0.8271
1368,0.8284
1369,0.8293
1370,0.8286
1371,0.8303
1372,0.8264
1373,0.8270
1374,0.8282
1375,0.8266
1376,0.8278
1377,0.8273
1378,0.8286
1379,0.8280
1380,0.8300
1381,0.8325
1382,0.8290
1383,0.8309
1384,0.8304
1385,0.8302
1386,0.8288
1387,0.8293
1388,0.8294
1389,0.8292
1390,0.8306
1391,0.8304
1392,0.8290
1393,0.8291
1394,0.8283
1395,0.8324
1396,0.8306
1397,0.8288
1398,0.8289
1399,0.8322
1400,0.8289
1401,0.8335
1402,0.8296
1403,0.8309
1404,0.8303
1405,0.8280
1406,0.8290
1407,0.8274
1408,0.8317
1409,0.8288
1410,0.8285
1411,0.8325
1412,0.8297
1413,0.8301
1414,0.8290
1415,0.8292
1416,0.8287
1417,0.8292
1418,0.8319
1419,0.8316
1420,0.8297
1421,0.8332
1422,0.6301
1423,0.6307
1424,0.6351
1425,0.6313
1426,0.6302
1427,0.6304
1428,0.6326
1429,0.6327
1430,0.6342
1431,0.6378
1432,0.6308
1433,0.6313
1434,0.6325
1435,0.6303
1436,0.6311
1437,0.6330
1438,0.6337
1439,0.6315
1440,0.6310
1441,0.6341
1442,0.6320
1443,0.6318
1444,0.6302
1445,0.6330
1446,0.6322
1447,0.6310
1448,0.6321
1449,0.6310
1450,0.6319
1451,0.6382
1452,0.6291
1453,0.6300
1454,0.6298
1455,0.6298
1456,0.6298
1457,0.6315
1458,0.6303
1459,0.6291
1460,0.6302
1461,0.6333
1462,0.6284
1463,0.6287
1464,0.6294
1465,0.6282
1466,0.6307
1467,0.6288
1468,0.6302
1469,0.6285
1470,0.6303
1471,0.6396
1472,0.6286
1473,0.6279
1474,0.6278
1475,0.6282
1476,0.6273
1477,0.6274
1478,0.6301
1479,0.6283
1480,0.6294
1481,0.6383
1482,0.6305
1483,0.6292
1484,0.6289
1485,0.6287
1486,0.6292
1487,0.6291
1488,0.6287
1489,0.6281
1490,0.6283
1491,0.6353
1492,0.6278
1493,0.6275
1494,0.6286
1495,0.6277
