Line_Number,Loss
5123,2.3879
5125,2.4289
5136,2.3952
5138,2.387
5140,2.5294
5142,2.5425
5144,2.3752
5146,2.5527
5148,2.356
5150,2.4497
5152,2.3249
5154,2.357
5165,2.4021
5167,2.5218
5169,2.3295
5171,2.4264
5173,2.3741
5175,2.4518
5177,2.1952
5179,2.4075
5181,2.4253
5183,2.4686
5194,2.4399
5196,2.3546
5198,2.406
5200,2.3334
5202,2.3619
5204,2.3496
5206,2.4482
5208,2.455
5210,2.3299
5212,2.3821
5223,2.4265
5225,2.3294
5227,2.4401
5229,2.3394
5231,2.4542
5233,2.3462
5235,2.4178
5237,2.3079
5239,2.2659
5241,2.3114
5252,2.5396
5254,2.3977
5256,2.382
5258,2.3883
5260,2.3709
5262,2.3734
5264,2.2922
5266,2.4039
5268,2.3434
5270,2.4275
